City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
242,pevek,69.7008,170.3133,-25.04,100,100,2.13,RU,2023-04-02 15:27:25
243,el dorado,38.7666,-120.5177,44.56,95,100,1.99,US,2023-04-02 15:27:25
244,kedrovyy,56.1667,91.8167,16.21,88,100,4.68,RU,2023-04-02 15:27:26
245,boa vista,2.8197,-60.6733,85.98,51,75,17.27,BR,2023-04-02 15:27:26
246,bukachacha,52.9833,116.9167,16.95,92,100,5.06,RU,2023-04-02 15:27:26
247,aras,42.5617,-2.356,50.43,47,100,12.66,ES,2023-04-02 15:27:26
248,clyde,41.3042,-82.9752,40.91,64,29,3.91,US,2023-04-02 15:27:26
249,yenagoa,4.9247,6.2642,95.99,39,63,3.67,NG,2023-04-02 15:27:26
250,cabedelo,-6.9811,-34.8339,86.67,71,100,8.84,BR,2023-04-02 15:27:26
251,saint-philippe,-21.3585,55.7679,80.19,81,100,4.32,RE,2023-04-02 15:27:26
252,asau,46.4333,26.4,56.32,74,100,3.44,RO,2023-04-02 15:27:27
253,portland,45.5234,-122.6762,41.81,93,75,5.01,US,2023-04-02 15:25:07
254,dargaville,-35.9333,173.8833,61.38,88,54,6.91,NZ,2023-04-02 15:27:27
255,olafsvik,64.8945,-23.7142,40.87,67,100,11.74,IS,2023-04-02 15:27:27
256,flinders,-34.5833,150.8552,63.18,87,60,1.99,AU,2023-04-02 15:27:27
257,opuwo,-18.0607,13.84,87.22,21,52,7.96,NA,2023-04-02 15:27:28
258,tura,25.5198,90.2201,65.93,77,19,3.58,IN,2023-04-02 15:23:33
259,xining,36.6167,101.7667,34.34,64,100,7.85,CN,2023-04-02 15:26:37
260,nuuk,64.1835,-51.7216,29.01,43,20,14.97,GL,2023-04-02 15:27:28
261,codrington,-38.2667,141.9667,49.62,92,51,6.4,AU,2023-04-02 15:27:28
262,vao,-22.6667,167.4833,77.29,83,8,5.01,NC,2023-04-02 15:27:28
263,faanui,-16.4833,-151.75,81.88,73,99,5.39,PF,2023-04-02 15:27:29
264,qasigiannguit,68.8193,-51.1922,10.65,91,81,2.8,GL,2023-04-02 15:27:29
265,yar-sale,66.8333,70.8333,23.88,86,100,9.44,RU,2023-04-02 15:27:29
266,clearwater,27.9659,-82.8001,83.17,78,40,6.91,US,2023-04-02 15:26:41
267,biskamzha,53.4497,89.5272,11.61,86,93,2.26,RU,2023-04-02 15:27:30
268,marinette,45.1,-87.6307,36.05,69,0,12.59,US,2023-04-02 15:27:30
269,huaicheng,23.9051,112.1931,70.29,97,100,3.47,CN,2023-04-02 15:27:30
270,komsomolskiy,40.4272,71.7189,66.92,45,75,18.41,UZ,2023-04-02 15:27:30
271,trairi,-3.2778,-39.2689,76.44,90,100,1.52,BR,2023-04-02 15:26:50
272,kahului,20.8947,-156.47,73.85,88,75,3.0,US,2023-04-02 15:27:31
273,bambous virieux,-20.3428,57.7575,81.21,89,75,8.05,MU,2023-04-02 15:27:31
274,ler,8.3018,30.1418,97.56,8,28,7.23,SS,2023-04-02 15:25:16
275,lima,-12.0432,-77.0282,79.05,69,0,12.66,PE,2023-04-02 15:26:05
276,rio gallegos,-51.6226,-69.2181,55.45,44,0,18.41,AR,2023-04-02 15:27:31
277,lavrentiya,65.5833,-171.0,-7.44,95,13,8.28,RU,2023-04-02 15:27:31
278,tarakan,3.3,117.6333,76.5,94,40,2.3,ID,2023-04-02 15:25:06
279,linxia,35.6003,103.2064,37.36,98,100,3.0,CN,2023-04-02 15:27:32
280,husavik,66.0449,-17.3389,37.06,88,76,8.25,IS,2023-04-02 15:27:32
281,hagi,34.4,131.4167,48.42,70,0,11.41,JP,2023-04-02 15:27:32
282,lac du bonnet,50.2536,-96.0612,29.44,77,100,6.24,CA,2023-04-02 15:27:32
283,martapura,-3.4167,114.85,75.29,100,98,2.3,ID,2023-04-02 15:27:33
284,padang,-0.9492,100.3543,78.85,86,31,3.24,ID,2023-04-02 15:27:33
285,akyab,20.15,92.9,79.81,74,88,9.55,MM,2023-04-02 15:27:33
286,mirabad,30.4362,61.8383,80.28,17,0,7.67,AF,2023-04-02 15:27:34
287,ribeira grande,38.5167,-28.7,61.77,59,20,24.16,PT,2023-04-02 15:27:34
288,veraval,20.9,70.3667,76.77,72,1,10.02,IN,2023-04-02 15:27:35
289,rodrigues alves,-7.738,-72.6509,80.8,79,100,1.5,BR,2023-04-02 15:27:35
290,kuytun,54.3419,101.5036,6.31,91,43,3.13,RU,2023-04-02 15:27:35
291,havelock,34.8791,-76.9013,62.98,48,0,9.22,US,2023-04-02 15:27:35
292,tanout,14.9709,8.8879,94.28,4,68,10.69,NE,2023-04-02 15:27:36
293,katsuura,35.1333,140.3,54.32,65,100,20.62,JP,2023-04-02 15:27:36
294,mezen,65.8522,44.24,24.04,90,32,4.97,RU,2023-04-02 15:27:36
295,fostoria,41.157,-83.4169,40.95,68,8,10.0,US,2023-04-02 15:27:36
296,ormara,25.2088,64.6357,76.73,82,55,16.98,PK,2023-04-02 15:27:36
297,belmonte,-15.8631,-38.8828,86.38,56,15,6.89,BR,2023-04-02 15:27:37
298,la ronge,55.1001,-105.2842,12.45,73,100,13.8,CA,2023-04-02 15:27:37
299,cervo,43.6702,-7.4101,54.54,64,100,8.19,ES,2023-04-02 15:27:37
300,dunedin,-45.8742,170.5036,50.81,72,5,4.0,NZ,2023-04-02 15:27:37
301,namatanai,-3.6667,152.4333,79.92,82,71,7.54,PG,2023-04-02 15:27:38
302,vila franca do campo,37.7167,-25.4333,63.01,68,2,16.06,PT,2023-04-02 15:27:38
